class_name,description
org.argouml.uml.diagram.static_structure.ui.SelectionClass$ModeCreateEdgeAndNodeWithComposition,mode create edge and node with composition post process edge this 0 
org.argouml.uml.ui.behavior.state_machines.UMLTransitionStateListModel,u m l transition state list model build model list is valid element 
org.argouml.ui.Clarifier,clarifier set to do item set fig hit 
org.argouml.uml.reveng.SettingsTypes$UniqueSelection2,unique selection2 
org.argouml.uml.diagram.ui.FigClassAssociationClass,fig class association class get remove delegate serial version u i d 
org.argouml.cognitive.ui.ToDoPerspective,to do perspective calc flat children add flat children set flat get flat get child get child count get index of child log flat flat children 
org.argouml.uml.ui.foundation.extension_mechanisms.ActionSetTagDefinitionNamespace,action set tag definition namespace action performed serial version u i d 
org.argouml.language.ui.LanguageComboBox,language combo box generator changed generator added generator removed finalize refresh log 
org.argouml.uml.ui.behavior.use_cases.UMLExtendExtensionPointListModel,u m l extend extension point list model move down move to bottom move to top build model list is valid element 
org.argouml.ui.ExceptionDialog$2,2 action performed this 0 
org.argouml.ui.ExceptionDialog$3,3 window closing this 0 
org.argouml.uml.ui.ActionAddDiagram,action add diagram is valid namespace create diagram create diagram find namespace action performed log 
org.argouml.profile.internal.ocl.ComputeTriggers,compute triggers case a classifier context get triggers triggs 
org.argouml.ui.ExceptionDialog$1,1 hyperlink update this 0 
org.argouml.uml.diagram.deployment.ui.InitDeploymentDiagram,init deployment diagram get project settings tabs get settings tabs get details tabs init 
org.argouml.gefext.ArgoModeCreateFigRRect,argo mode create fig r rect create new item instructions 
org.argouml.uml.ui.behavior.state_machines.PropPanelCompositeState,prop panel composite state add extra buttons update extra buttons set target initialize serial version u i d subvertices list add concurrent region 
org.argouml.ui.explorer.rules.GoClassifierToStateMachine,go classifier to state machine get dependencies get rule name get children 
org.argouml.uml.diagram.ui.ModeLabelDrag,mode label drag instructions mouse dragged mouse pressed mouse released drag fig fig edge drag base point deltax deltay 
org.argouml.uml.reveng.Import$ConfigPanelExtension,config panel extension create grid bag constraints create grid bag constraints final this 0 
org.argouml.uml.ui.behavior.activity_graphs.PropPanelPartition$ActionAddPartitionContent,action add partition content get selected get choices do it get dialog title this 0 
org.argouml.uml.ui.foundation.core.UMLEnumerationLiteralsListModel,u m l enumeration literals list model move down move to bottom move to top build model list is valid element serial version u i d 
org.argouml.uml.ui.TabTaggedValues,tab tagged values target set target added target removed should be enabled resize columns set target internal get table model get target set target refresh component hidden component moved component resized component shown get table value changed stop editing log serial version u i d target should be enabled table title label button panel tag definitions combo box tag definitions combo box model 
org.argouml.uml.diagram.activity.layout.ActivityDiagramLayouter,activity diagram layouter get minimum diagram size get objects place nodes add remove get object layout diagram objects starting point offset y final state  assertions disabled 
org.argouml.uml.diagram.state.ui.FigHistoryState,fig history state is filled get fill color set fill color set line width init figs place string create big port fig set standard bounds set filled set line color get h clone is resizable mouse clicked get line width get line color x y width height h head serial version u i d 
org.argouml.uml.diagram.ui.ActionSetDiagramHomeModel,action set diagram home model action performed 
org.argouml.application.api.AbstractArgoJPanel,abstract argo j panel spawn clone get title set title get orientation get icon set icon set orientation log overlapp title icon tear orientation 
org.argouml.ui.NavigatorPane,navigator pane get minimum size serial version u i d 
org.argouml.uml.ui.UMLDerivedCheckBox,u m l derived check box 
org.argouml.uml.ui.behavior.activity_graphs.UMLObjectFlowStateClassifierComboBoxModel,u m l object flow state classifier combo box model get selected model element build model list is valid element model changed 
org.argouml.uml.diagram.static_structure.ui.FigFeature,fig feature remove from diagram update owner scope set filled set text filled make selection property change event name 
org.argouml.uml.ui.ActionGenerationSettings,action generation settings is enabled action performed 
org.argouml.uml.cognitive.critics.CrAlreadyRealizes,cr already realizes get criticized design materials predicate2 serial version u i d 
org.argouml.notation.providers.uml.InitNotationUml,init notation uml get project settings tabs get settings tabs get details tabs init 
org.argouml.kernel.MemberList,member list remove diagram set todo list build ordered member list add add add add contains get get index of is empty last index of size sub list to array to array to array add all add all iterator remove remove remove clear set set contains all list iterator list iterator remove all retain all log model diagram members todo list profile configuration 
org.argouml.uml.diagram.state.ui.StateDiagramRenderer,state diagram renderer get fig node for get fig edge for log  assertions disabled 
org.argouml.ui.cmd.ShortcutChangedListener,shortcut changed listener shortcut change 
org.argouml.uml.ui.behavior.use_cases.PropPanelActor,prop panel actor serial version u i d 
org.argouml.profile.internal.ocl.CompositeModelInterpreter,composite model interpreter invoke feature get built in symbol add model interpreter set 
org.argouml.ui.SplashPanel,splash panel get image splash image 
org.argouml.uml.cognitive.critics.CrCircularComposition,cr circular composition get criticized design materials predicate2 to do item get wizard class compute offenders still valid log 
org.argouml.uml.diagram.activity.ui.FigCallState,fig call state get notation provider type make selection clone 
org.argouml.uml.ui.SavePNGAction2,save p n g action2 save graphics action performed log 
org.argouml.ui.ZoomSliderButton$3,3 action performed this 0 
org.argouml.uml.ui.behavior.common_behavior.ActionNewException,action new exception action performed 
org.argouml.uml.diagram.ui.ActionAddMessage$1,1 target set target added target removed set target 
org.argouml.ui.ZoomSliderButton$4,4 focus lost this 0 
org.argouml.ui.ZoomSliderButton$1,1 action performed this 0 
org.argouml.uml.ui.foundation.extension_mechanisms.PropPanelTaggedValue,prop panel tagged value get model element selector get reference values scroll get type selector get data values scroll model element selector type selector reference values scroll data values scroll 
org.argouml.uml.cognitive.critics.CrNoOperations,cr no operations get criticized design materials predicate2 get wizard class find instance operation in inherited get clarifier init wizard 
org.argouml.ui.ZoomSliderButton$2,2 state changed this 0 
