class_name,description
org.argouml.uml.ui.ActionActivityDiagram,action activity diagram create diagram get context serial version u i d 
org.argouml.cognitive.Designer,designer 
org.argouml.uml.diagram.ui.FigSingleLineText,fig single line text access 0 remove from diagram add model listener is start editing key rendering changed set filled initialize get minimum size set text property change update layout log properties  assertions disabled 
org.argouml.uml.diagram.ui.PathItemPlacement,path item placement set point stuff point set displacement vector set displacement vector set displacement distance get rect line intersection set closest point set absolute offset get anchor position get path distance set anchor percent set anchor offset compute vector set displacement angle set displacement angle get vector offset set anchor get item fig get slope get slope apply offset get angle intersects paint intersection get point get position get position get percent log use collision check use angle angle item fig percent path offset vector offset offset swap 
org.argouml.application.api.ArgoEventListener,argo event listener 
org.argouml.uml.ui.TabConstraints$ConstraintModel,tab constraints$ constraint model 
org.argouml.uml.cognitive.critics.WizMEName,wiz m e name can go next do action make panel get instructions set instructions set suggestion set must edit log instructions label must edit step1 orig suggest 
org.argouml.uml.cognitive.critics.CrInstanceWithoutClassifier,cr instance without classifier predicate2 to do item compute offenders still valid 
org.argouml.persistence.ToDoItemXMLHelper,to do item x m l helper get more info u r l get headline get priority get description item 
org.argouml.uml.diagram.activity.ui.ActionCreatePartition,action create partition create mode machine 
org.argouml.uml.diagram.ui.FigRole,fig role get notation provider type property change  assertions disabled 
org.argouml.uml.ui.ActionImportFromSources,action import from sources do command get instance action performed log singleton 
org.argouml.uml.ui.ActionOpenProject,action open project do command action performed 
org.argouml.ui.explorer.rules.GoModelToBaseElements,go model to base elements get dependencies get rule name get children 
org.argouml.uml.ui.foundation.core.PropPanelOperation$ActionNewRaisedException,action new raised exception action performed this 0 
org.argouml.application.helpers.ApplicationVersion,application version get manual for critic get online manual get online support init get version version stable version  assertions disabled 
org.argouml.notation.providers.uml.MultiplicityNotationUml,multiplicity notation uml set multiplicity parse multiplicity get parsing help to string parse 
org.argouml.uml.diagram.activity.ActivityDiagramGraphModel,activity diagram graph model can add node serial version u i d 
org.argouml.uml.diagram.static_structure.layout.ClassdiagramNoteEdge,classdiagram note edge add points layout 
org.argouml.ui.explorer.PerspectiveConfigurator$RenameListener,rename listener action performed this 0 
org.argouml.uml.diagram.static_structure.ui.PackagePortFigRect,package port fig rect set fill color set filled get closest point indent x tab height serial version u i d 
org.argouml.cognitive.ui.GoListToDecisionsToItems,go list to decisions to items get decision list get child count cond has children get child is leaf get child count add tree model listener get index of child remove tree model listener value for path changed 
org.argouml.ui.explorer.PerspectiveConfigurator$RemovePerspectiveListener,remove perspective listener action performed this 0 
org.argouml.uml.reveng.ImportSettingsInternal,import settings internal is changed only selected is create diagrams selected is minimize figs selected is diagram layout selected is descend selected 
org.argouml.ui.ShadowComboBox$ShadowFig,shadow fig set shadow size create stereotype fig set name serial version u i d 
org.argouml.uml.diagram.static_structure.ui.FigSubsystem,fig subsystem construct figs 
org.argouml.uml.ui.foundation.core.PropPanelComment,prop panel comment serial version u i d 
org.argouml.ui.StylePanelFigNodeModelElement,style panel fig node model element add to display pane set target refresh property change item state changed refresh transaction display label path check box display pane 
org.argouml.uml.ui.model_management.ActionDialogElementImport,action dialog element import get selected get choices is exclusive do it get dialog title is multi select action performed 
org.argouml.uml.GenDescendantClasses,gen descendant classes gen get s i n g l e t o n accumulate descendants singleton 
org.argouml.ui.explorer.rules.GoStateToInternalTrans,go state to internal trans get dependencies get rule name get children 
org.argouml.uml.ui.behavior.activity_graphs.PropPanelObjectFlowState,prop panel object flow state access 0 add extra buttons get classifier combo box remove top state from get type set target property change classifier combo box states scroll action new c i s classifier combo box model 
org.argouml.uml.util.namespace.Namespace,namespace peek namespace element pop namespace element get common namespace get base namespace push namespace element set default scope token to string is empty iterator java ns token uml ns token cpp ns token 
org.argouml.uml.ui.UMLSingleRowSelector,u m l single row selector get minimum size get preferred size get maximum size scroll preferred size 
org.argouml.uml.ui.behavior.common_behavior.UMLInstanceReceiverStimulusListModel,u m l instance receiver stimulus list model build model list is valid element 
org.argouml.profile.init.InitProfileSubsystem,init profile subsystem init 
org.argouml.notation.ui.SettingsTabNotation,settings tab notation set project handle settings tab refresh handle settings tab save handle settings tab cancel create check box handle reset to default build panel get tab key get tab panel get boolean set visible create label top panel notation language use guillemots show association names show visibility show multiplicity show initial value show properties show types show stereotypes show singular multiplicities scope p  assertions disabled 
org.argouml.uml.ui.foundation.core.UMLCommentAnnotatedElementListModel,u m l comment annotated element list model build model list is valid element 
org.argouml.profile.UserDefinedProfileHelper$1,1 accept get description 
org.argouml.uml.ui.ActionGenerateProjectCode,action generate project code is code relevant classifier is enabled action performed 
org.argouml.uml.ui.behavior.common_behavior.ActionAddSendActionSignal,action add send action signal get selected get choices do it get dialog title choice class serial version u i d 
org.argouml.uml.diagram.state.ui.FigDeepHistoryState,fig deep history state get h 
org.argouml.profile.internal.ocl.EvaluateInvariant,evaluate invariant case a constraint is o k ok exp evaluator model element mi 
org.argouml.uml.ui.behavior.state_machines.UMLStubStateComboBoxModel,u m l stub state combo box model get selected model element build model list is valid element 
org.argouml.uml.ui.foundation.core.PropPanelAssociation,prop panel association initialize serial version u i d assoc end scroll association role scroll links scroll modifiers panel 
org.argouml.uml.reveng.ConfigPanelExtension,config panel extension create grid bag constraints create grid bag constraints final dispose dialog get datatype get attribute key import extended model attr key import extended model arrays key import extended collections flag key import extended collections list key import extended orderedcolls flag key import extended orderedcolls list config panel attribute datatype modelcollections modelorderedcollections collectionlist orderedcollectionlist 
org.argouml.uml.diagram.static_structure.ui.FigPackage$FigPackageFigText,fig package fig text set fill color set filled mouse clicked serial version u i d this 0 
org.argouml.uml.diagram.collaboration.ui.PropPanelUMLCollaborationDiagram,prop panel u m l collaboration diagram 
org.argouml.uml.reveng.SettingsTypes$PathSelection,path selection get default path set path get path 
org.argouml.uml.generator.CodeGenerator,code generator generate files generate file list generate file separator 
org.argouml.uml.diagram.layout.LayoutedNode,layouted node get location get size set location 
org.argouml.uml.ui.foundation.core.UMLAssociationEndNavigableCheckBox,u m l association end navigable check box build model 
org.argouml.kernel.Project,project get u r i set version get default attribute type get default parameter type get default return type get undo manager get profile configuration move to trash get user defined model list get active diagram get diagram list update roots get initial target add member find type find type get u u i d refs set u u i d refs set roots get uri set uri set persistence version get persistence version set profile configuration get diagram count set active diagram set project type set authorname set authoremail set history file set saved diagram name get project settings is valid diagram name get diagram repair pre save post save post load find all presentations for find figs for member add search path find type in model get models find type in default model get presentation count for is in trash set dirty set current namespace get authorname get authoremail get project type get search path list get history file get current namespace set search path add diagram add model get name remove get members get version set file get root get model get description set description is dirty get roots set root uml project profile project 
org.argouml.uml.generator.ui.ClassGenerationDialog,class generation dialog access 4 access 1 access 3 access 5 access 6 access 0 name buttons build languages get classpath entries save language do browse set class table column widths access 2 action performed source language tag log class table model is path in model languages class table output directory combo box language history serial version u i d 
org.argouml.cognitive.ui.ToDoByDecision,to do by decision to do items changed to do items added to do items removed to do list changed log 
org.argouml.ui.cmd.ActionAboutArgoUML,action about argo u m l action performed serial version u i d 
org.argouml.uml.cognitive.critics.ChildGenUML,child gen u m l gen gen2 log 
org.argouml.uml.ui.UMLLinkedList,u m l linked list 
org.argouml.cognitive.ui.WizStepChoice,wiz step choice action performed get selected index instructions choices selected index serial version u i d 
org.argouml.uml.ui.MoveToTopAction,move to top action is enabled action performed model index 
org.argouml.util.PredicateEquals,predicate equals evaluate pattern 
org.argouml.notation.providers.java.AssociationNameNotationJava,association name notation java initialise listener get parsing help to string parse 
org.argouml.uml.ui.AbstractActionNewModelElement,abstract action new model element get target set target target 
org.argouml.ui.explorer.PerspectiveConfigurator$MoveDownListener,move down listener action performed this 0 
org.argouml.uml.ui.TabStereotype,tab stereotype access 4 access 1 access 3 access 5 access 0 should be enabled should be enabled do add stereotype do remove stereotype access 2 make panel set target inset px orientation selected list model available list model selected scroll available scroll panel add st button remove st button xfer buttons selected list available list serial version u i d 
org.argouml.uml.diagram.ui.FigEnumLiteralsCompartment,fig enum literals compartment get compartment type create model element get uml collection get notation type create fig text get name serial version u i d 
org.argouml.uml.diagram.layout.LayoutHelper,layout helper get point on perimeter get point on perimeter get routing polygon straight line with offset get routing polygon straight line north northeast east southeast south southwest west northwest 
org.argouml.uml.diagram.collaboration.CollabDiagramGraphModel,collab diagram graph model add node add node related edges get ports get in edges get out edges can add node can add edge add edge can connect set collaboration get owner vetoable change log serial version u i d 
org.argouml.ui.TabModelTarget,tab model target 
org.argouml.uml.diagram.ui.FigCompartment$FigPort,fig port set fill color set line width set filled hit 
org.argouml.cognitive.CompositeCM,composite c m get mech list add mech mechs 
org.argouml.ocl.CriticOclEvaluator,critic ocl evaluator eval to string eval to string get instance instance evaluator 
org.argouml.uml.ui.behavior.state_machines.PropPanelFinalState,prop panel final state serial version u i d 
org.argouml.application.Main,main init translator init preinitialize parse command line initialize splash initialize subsystems get most recent project perform commands add post load action check j v m version check hosts file set system properties initialize g u i project url open project init version print usage init model perform commands internal main update progress log default logging configuration default model implementation post load actions do splash reload recent batch commands project name the theme show uml2warning 
org.argouml.notation.NotationProviderFactory2,notation provider factory2 set default notation get notation provider get notation provider add notation provider remove notation get notation provider class get instance log type name type transition type statebody type actionstate type attribute type operation type object type componentinstance type nodeinstance type objectflowstate type type objectflowstate state type callstate type classifierrole type message type extension point type association end name type association role type association name type multiplicity type enumeration literal type sd message default language all languages instance 
org.argouml.uml.ui.SourcePathTableModel,source path table model get model element get m e source path get m e name get m e type is cell editable model element column name column type column source path column log 
org.argouml.configuration.Configuration,configuration get configuration handler make key make key make key make key make key make key set integer get factory load load load save save get boolean get boolean get double get double set boolean set double get integer get integer get string get string remove key set string add listener add listener remove listener remove listener file loaded url loaded file saved url saved config 
org.argouml.ui.explorer.ExplorerTree,explorer tree access 4 access 1 access 3 access 5 access 6 access 0 refresh selection add targets internal select visible select children set selection access 2 paint select all bg image updating selection updating selection via tree selection serial version u i d 
org.argouml.cognitive.ui.TabToDo,tab to do target set target added target removed set target internal increment num hushes show description update actions enabled show step get target set target refresh component hidden component moved component resized component shown set tree num hushes action new to do item action resolve action snooze description last panel split pane target serial version u i d 
org.argouml.uml.ui.behavior.common_behavior.UMLReceptionSignalComboBox,u m l reception signal combo box do it 
org.argouml.moduleloader.InitModuleLoader,init module loader get project settings tabs get settings tabs get details tabs init 
org.argouml.util.osdep.OsUtil,os util is win32 is mac is mac o s x is sun jdk 
org.argouml.cognitive.checklist.ui.TableModelChecklist$1,1 run this 0 
org.argouml.uml.diagram.ui.FigAssociation$EndDecoration,end decoration init notation providers get role get mult get arrow type rendering changed get owner get group group mult this 0 
org.argouml.uml.diagram.static_structure.layout.ClassdiagramEdge,classdiagram edge get dest fig node get source fig node get underlying fig get current edge get v gap set h gap set v gap get h gap layout v gap h gap current edge underlying fig dest fig node source fig node 
org.argouml.uml.cognitive.critics.WizAddInstanceVariable,wiz add instance variable do action make panel set instructions step1 label instructions 
org.argouml.uml.diagram.use_case.UseCaseDiagramGraphModel,use case diagram graph model add node add node related edges get ports get in edges get out edges can add node can add edge add edge can connect get owner vetoable change log serial version u i d 
org.argouml.uml.ui.behavior.activity_graphs.ActionAddCISState,action add c i s state get selected get choices do it get dialog title serial version u i d choice class 
org.argouml.uml.ui.behavior.common_behavior.ActionSetActionAsynchronous,action set action asynchronous get instance action performed singleton serial version u i d 
org.argouml.uml.ui.behavior.common_behavior.ActionAddInstanceClassifier,action add instance classifier get selected get choices do it get dialog title choice class 
org.argouml.uml.diagram.ui.FigEdgePort,fig edge port is selectable hit fig hit port get port fig class name and bounds initialize get owner hit big port serial version u i d 
org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionNamespaceComboBoxModel,u m l tag definition namespace combo box model build model list is valid element model changed log 
org.argouml.uml.cognitive.critics.CrInterfaceAllPublic,cr interface all public get criticized design materials predicate2 
org.argouml.uml.ui.ActionNavigateAssociation,action navigate association navigate to 
org.argouml.uml.ui.ActionSetSourcePath,action set source path get new directory action performed serial version u i d 
org.argouml.uml.reveng.Import$ImportFileChooser,import file chooser approve selection init chooser cancel selection the import 
org.argouml.util.CustomSeparator,custom separator token length add char has free part end char get peek count reset pattern match 
org.argouml.uml.ui.behavior.common_behavior.PropPanelSendAction,prop panel send action add extra actions serial version u i d 
org.argouml.uml.ui.behavior.use_cases.ActionAddExtendExtensionPoint,action add extend extension point get selected get choices do it get dialog title get instance singleton 
org.argouml.uml.diagram.ExtensionPointsCompartmentContainer,extension points compartment container is extension points visible set extension points visible 
org.argouml.uml.diagram.ui.FigOperationsCompartment,fig operations compartment get compartment type create model element get uml collection get notation type create fig text get name 
org.argouml.uml.cognitive.critics.CrCrossNamespaceAssoc,cr cross namespace assoc get criticized design materials predicate2 
org.argouml.uml.ui.behavior.common_behavior.PropPanelSignal,prop panel signal serial version u i d 
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementRoot,action set generalizable element root get instance action performed singleton 
org.argouml.uml.ui.behavior.common_behavior.UMLActionArgumentListModel,u m l action argument list model move down move to bottom move to top build model list is valid element serial version u i d 
org.argouml.uml.ui.behavior.collaborations.UMLCollaborationRepresentedClassifierComboBoxModel,u m l collaboration represented classifier combo box model get selected model element build model list is valid element model change 
org.argouml.uml.cognitive.critics.CrMultipleAgg,cr multiple agg get criticized design materials predicate2 get wizard class 
org.argouml.uml.diagram.ui.FigEdgeAssociationClass,fig edge association class construct figs set source fig node set dest fig node set fig get remove delegate model changed can edit serial version u i d log 
org.argouml.ui.explorer.PerspectiveConfigurator$1,1 compare compare this 0 
org.argouml.ui.explorer.PerspectiveConfigurator$2,2 compare this 0 
org.argouml.uml.diagram.ui.ActionAddExtensionPoint$1,1 target set target added target removed set target 
org.argouml.uml.diagram.ui.ActionAddNote,action add note calculate location action performed default pos distance serial version u i d 
org.argouml.uml.diagram.state.ui.FigJunctionState,fig junction state is filled get fill color set fill color set line width init figs create big port fig set standard bounds set filled set line color get closest point clone is resizable mouse clicked get line width get line color x y width height head serial version u i d 
org.argouml.ui.explorer.rules.GoStereotypeToTagDefinition,go stereotype to tag definition get dependencies get rule name to string get children 
org.argouml.uml.ui.behavior.common_behavior.ActionSetLinkAssociation,action set link association action performed serial version u i d 
org.argouml.uml.diagram.ui.FigAssociation,fig association get notation provider type init notation providers remove from diagram impl text edited layout edge create end initialize notation providers internal create name label create end figs apply arrow heads update multiplicity get middle group rendering changed get source connector get destination connector paint clarifiers get pop up actions text edit started update name text update listeners paint get source property change get destination log src end dest end middle group 
org.argouml.uml.ui.behavior.activity_graphs.UMLCallStateEntryList,u m l call state entry list get popup menu 
org.argouml.uml.reveng.Setting$PathSelection,path selection get default path set path get path path default path 
org.argouml.application.api.Argo,argo get directory get encoding set directory argoini key startup dir key splash key edem key most recent project file key most recent export directory key reload recent project key number last recent used key screen top y key screen left x key screen width key screen height key screen maximized key screen southwest width key screen northwest width key screen southeast width key screen northeast width key screen west width key screen east width key screen south height key screen north height key screen theme key look and feel class key theme class key smooth edges key user email key user fullname key user import classpath key import general settings flags key import general detail level key input source encoding key xmi strip diagrams key default model key user explorer perspectives key locale key grid key snap console log argo console suppress argo console prefix documentation tag author tag since tag see tag deprecated tag version tag documentation tag alt scope application scope project 
org.argouml.uml.diagram.static_structure.ui.FigOperation,fig operation remove from diagram get notation provider type get fig font style property change 
org.argouml.ui.SettingsDialog$1,1 action performed this 0 
org.argouml.ocl.OCLExpander,o c l expander create evaluator 
org.argouml.notation.providers.ComponentInstanceNotation,component instance notation 
org.argouml.uml.ui.behavior.state_machines.PropPanelTransition,prop panel transition get trigger actions get effect actions serial version u i d 
org.argouml.uml.diagram.activity.ui.FigSubactivityState,fig subactivity state is filled get fill color set fill color set line width init figs create big port fig set standard bounds make sub states icon set filled set line color update name text update listeners clone get minimum size get line width get line color model changed padding x y w h sx sy sw sh cover s1 s2 s3 
org.argouml.ui.cmd.SettingsTabShortcuts$ShortcutTableModel,shortcut table model get column count get value at get row count get column class get column name is cell editable set value at this 0 
org.argouml.uml.ui.UMLCheckBox2,u m l check box2 target set target added target removed build model get target set target property change check box target property set name 
org.argouml.uml.diagram.ui.PathConvPercent2,path conv percent2 stuff point set percent offset apply offset amount set closest point tanh item fig percent offset serial version u i d 
org.argouml.uml.diagram.layout.LayoutedObject,layouted object 
org.argouml.uml.ui.behavior.state_machines.UMLCallEventOperationComboBoxModel,u m l call event operation combo box model get selected model element build model list is valid element 
org.argouml.util.Predicate,predicate evaluate 
org.argouml.ui.explorer.DnDExplorerTree$ArgoDropTargetListener,argo drop target listener access 1 access 0 is drag acceptable is drop acceptable drag enter drag exit drag over drop drop action changed last path cue line ghost rectangle cue line color last mouse location hover timer this 0 
org.argouml.uml.ui.ActionDeploymentDiagram,action deployment diagram is valid namespace create diagram find namespace log serial version u i d 
org.argouml.uml.reveng.SettingsTypes$BooleanSelection,boolean selection get default value is selected set selected 
org.argouml.uml.ui.behavior.use_cases.ActionNewExtensionPoint,action new extension point action performed serial version u i d 
org.argouml.application.helpers.ResourceLoaderWrapper,resource loader wrapper lookup icon lookup icon lookup icon resource lookup icon resource lookup icon url lookup icon url add resource location init resource loader look and feel path get image binding get instance log initial state icon deep icon shallow icon fork icon join icon branch icon junction icon realize icon signal icon exception icon comment icon icon cache instance images 
org.argouml.uml.ui.foundation.core.UMLAssociationLinkListModel,u m l association link list model build model list is valid element 
org.argouml.profile.internal.ocl.LambdaEvaluator,lambda evaluator evaluate 
org.argouml.uml.ui.ActionNavigateNamespace,action navigate namespace navigate to 
org.argouml.uml.ui.foundation.extension_mechanisms.ActionSetTagDefinitionOwner,action set tag definition owner action performed log singleton serial version u i d 
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementLeaf,action set generalizable element leaf get instance action performed singleton 
org.argouml.uml.ui.foundation.core.UMLModelElementNamespaceListModel,u m l model element namespace list model build model list is valid element 
org.argouml.uml.ui.behavior.state_machines.UMLStateVertexOutgoingListModel,u m l state vertex outgoing list model build model list is valid element 
org.argouml.ui.explorer.DnDExplorerTree$DnDTreeSelectionListener,dn d tree selection listener value changed this 0 
org.argouml.uml.ui.UMLScriptExpressionModel,u m l script expression model get expression set expression new expression 
org.argouml.cognitive.critics.WizardItem,wizard item changed 
org.argouml.uml.diagram.ui.FigPermission,fig permission 
org.argouml.uml.ui.behavior.collaborations.UMLMessageActivatorComboBoxModel,u m l message activator combo box model get selected model element build model list is valid element set target interaction 
org.argouml.uml.diagram.ui.FigNodeAssociation,fig node association remove from diagram impl is filled get fill color set fill color set line width init figs get gravity points create big port fig set standard bounds set filled set line color reduce to binary clone get minimum size get line width get line color update layout x y head  assertions disabled 
org.argouml.uml.cognitive.critics.CrComponentInstanceWithoutClassifier,cr component instance without classifier predicate2 to do item compute offenders still valid serial version u i d 
org.argouml.ui.explorer.rules.GoNamespaceToOwnedElements,go namespace to owned elements get dependencies get rule name get children 
org.argouml.ui.explorer.rules.GoClassifierToCollaboration,go classifier to collaboration get dependencies get rule name get children 
org.argouml.uml.ui.foundation.core.ElementResidenceResidentListModel,element residence resident list model build model list is valid element 
org.argouml.uml.cognitive.critics.CrComponentWithoutNode,cr component without node predicate2 to do item compute offenders still valid 
org.argouml.uml.cognitive.critics.CrSubclassReference,cr subclass reference get criticized design materials predicate2 to do item compute offenders still valid 
org.argouml.uml.ui.foundation.extension_mechanisms.PropPanelStereotype$ActionDeleteStereotypeBaseClass,action delete stereotype base class action performed this 0 
org.argouml.uml.reveng.SettingsTypes,settings types 
org.argouml.uml.diagram.ui.ActionAddMessage,action add message access 0 should be enabled get target follower add message action performed target follower 
org.argouml.uml.ui.behavior.common_behavior.ActionNewUninterpretedAction$1,1 action performed 
org.argouml.uml.diagram.ui.UMLDiagram,u m l diagram set project make create dependency action make create association action create nary association node make create generalization action make create association end action make create association class action does accept get label name get j tool bar get mode place get new diagram name get uml actions get manipulate actions get comment actions get shape actions get shape popup actions set selected action get selected action deselect all tools make create node action make create edge action reset diagram serial get next diagram serial is relocation allowed get class and model i d relocate init tool bar get instructions get actions initialize drop log action comment action comment link action select action broom action rectangle action r rectangle action circle action line action text action poly action spline action ink tool bar selected action 
org.argouml.uml.ui.behavior.state_machines.UMLStateMachineTopListModel,u m l state machine top list model build model list is valid element 
org.argouml.uml.diagram.ui.ActionAggregation,action aggregation get src agg get dest agg get src agg none get src agg composite get dest agg none get dest agg composite is enabled action performed str agg src agg dest agg src agg composite dest agg composite src agg none dest agg none 
org.argouml.uml.ui.behavior.common_behavior.ActionNewReturnAction$1,1 action performed 
org.argouml.ui.ShadowComboBox$ShadowRenderer,shadow renderer paint component get list cell renderer component serial version u i d current fig this 0 
org.argouml.persistence.XmiExtensionParser,xmi extension parser parse 
org.argouml.uml.ui.foundation.core.PropPanelAttribute$1,1 get parent get family this 0 
org.argouml.ui.explorer.rules.GoModelToElements,go model to elements get dependencies get rule name get children 
org.argouml.uml.ui.foundation.core.PropPanelDependency,prop panel dependency get supplier scroll get client scroll serial version u i d supplier scroll client scroll 
org.argouml.uml.diagram.static_structure.ui.FigEnumeration,fig enumeration get keyword add extra compartments update enum literals get literals compartment set enum literals visible is enum literals visible get enum literals bounds rendering changed make selection update listeners class name and bounds clone literals compartment 
org.argouml.uml.cognitive.critics.CrTooManyAttr,cr too many attr get criticized design materials predicate2 attributes threshold serial version u i d 
org.argouml.uml.ui.foundation.core.UMLGeneralizableElementAbstractCheckBox,u m l generalizable element abstract check box build model 
org.argouml.uml.cognitive.critics.CrNoIncomingTransitions,cr no incoming transitions get criticized design materials predicate2 is some subvertex of 
org.argouml.uml.ui.behavior.collaborations.PropPanelMessage,prop panel message serial version u i d 
org.argouml.uml.cognitive.critics.CrTooManyAssoc,cr too many assoc get criticized design materials predicate2 associations threshold 
org.argouml.uml.ui.behavior.collaborations.PropPanelAssociationEndRole,prop panel association end role position controls 
org.argouml.uml.diagram.static_structure.ui.FigPackage$ShowStereotypeAction,show stereotype action action performed action key serial version u i d this 0 
org.argouml.persistence.ZargoFilePersister,zargo file persister make zip entry url open zip stream at do save zargo to uml copy argo copy member copy xmi copy diagrams get pgml count contains todo open zip entry is save enabled get entry names load from zargo contains profile reader to writer do load to u r l get extension get desc log 
org.argouml.profile.internal.ocl.uml14.ModelAccessModelInterpreter,model access model interpreter invoke feature get built in symbol internal ocl log uml14mi 
org.argouml.uml.diagram.activity.ui.InitActivityDiagram,init activity diagram get project settings tabs get settings tabs get details tabs init 
org.argouml.uml.ui.behavior.state_machines.PropPanelChangeEvent,prop panel change event initialize 
org.argouml.uml.cognitive.critics.CrNodeInsideElement,cr node inside element predicate2 to do item compute offenders still valid 
org.argouml.ui.ArgoStatusBar,argo status bar status cleared project loaded project modified help changed help removed status text project saved show status on swing thread 
org.argouml.ui.ProjectBrowser$Position,position value of values center north south east west north east south east south west north west enum values 
org.argouml.profile.internal.ocl.OclExpressionEvaluator,ocl expression evaluator evaluate 
org.argouml.uml.ui.foundation.core.PropPanelPermission,prop panel permission serial version u i d 
org.argouml.ui.targetmanager.TargetListener,target listener target set target added target removed 
org.argouml.uml.diagram.state.PredIsStartState,pred is start state predicate get the instance the instance 
org.argouml.cognitive.ui.WizStepManyTextFields,wiz step many text fields get string list instructions fields serial version u i d 
org.argouml.ui.explorer.ExplorerTree$ExplorerTreeExpansionListener,explorer tree expansion listener tree collapsed tree expanded this 0 
org.argouml.uml.ui.foundation.core.UMLGeneralizableElementRootCheckBox,u m l generalizable element root check box build model 
org.argouml.uml.ui.behavior.activity_graphs.UMLClassifierInStateTypeComboBoxModel,u m l classifier in state type combo box model get selected model element build model list is valid element model changed serial version u i d 
org.argouml.cognitive.critics.ui.TableModelCritics,table model critics get critic at row set advanced list to string get column count get value at vetoable change get row count get column class get column name is cell editable set value at log critics advanced 
org.argouml.uml.ui.foundation.core.UMLDependencySupplierListModel,u m l dependency supplier list model build model list is valid element 
org.argouml.uml.cognitive.critics.CrUselessAbstract,cr useless abstract get criticized design materials predicate2 
org.argouml.uml.ui.behavior.state_machines.ActionNewTransition,action new transition is enabled action performed source destination 
org.argouml.uml.ui.foundation.core.EnumerationListModel,enumeration list model target set target added target removed set target 
org.argouml.uml.diagram.static_structure.ui.FigSignal,fig signal construct figs get pop up actions make selection 
org.argouml.util.IteratorEnumeration,iterator enumeration has more elements next element it 
org.argouml.uml.ui.foundation.core.ActionSetParameterType,action set parameter type get instance action performed singleton 
org.argouml.uml.ui.behavior.common_behavior.ActionAddReceptionSignal,action add reception signal get selected get choices do it get dialog title serial version u i d 
org.argouml.uml.ui.behavior.state_machines.UMLSynchStateBoundDocument,u m l synch state bound document get property set property insert string serial version u i d 
org.argouml.ui.MultiEditorPane,multi editor pane target set target added target removed my double click get index of named tab select tab named my single click get tabs enable tabs set target get minimum size get preferred size mouse clicked mouse entered mouse exited mouse pressed mouse released state changed select next tab log tab instances tabs tab panels last tab 
org.argouml.notation.providers.StateBodyNotation,state body notation initialise listener 
org.argouml.uml.ui.foundation.core.UMLOperationMethodsListModel,u m l operation methods list model build model list is valid element serial version u i d 
org.argouml.uml.ui.behavior.activity_graphs.PropPanelPartition,prop panel partition get activity graph field get contents field contents scroll activity graph scroll content list model 
org.argouml.persistence.PrivateHandler$NameVal,name val get name get value name value 
org.argouml.uml.diagram.ui.ModeLabelDragFactory,mode label drag factory create mode create mode 
org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter$NodeRow,node row add node adjust row nodes do split get node list get row number set row number iterator get width nodes row number this 0 
org.argouml.ui.explorer.PerspectiveConfigurator$OkListener,ok listener action performed this 0 
org.argouml.uml.diagram.DiagramEdgeSettings,diagram edge settings get source connector get destination connector source connector destination connector 
org.argouml.configuration.ConfigurationKeyImpl,configuration key impl is changed property to string get key key 
org.argouml.uml.ui.AbstractActionRemoveElement,abstract action remove element get object to remove set object to remove get target set target is enabled target object to remove 
org.argouml.uml.diagram.use_case.ui.SelectionActor,selection actor get instructions get icons get new node get new edge type get new node type is reverse edge association icon generalization icon icons instructions edge type 
org.argouml.uml.cognitive.critics.CrOperNameConflict,cr oper name conflict get criticized design materials predicate2 get clarifier signatures match 
org.argouml.uml.ui.model_management.ElementImportPackageListModel,element import package list model build model list is valid element 
org.argouml.uml.ui.behavior.state_machines.UMLStateDoActivityListModel,u m l state do activity list model build model list is valid element 
org.argouml.uml.ui.foundation.core.UMLMethodProcedureExpressionModel,u m l method procedure expression model get expression set expression new expression log 
org.argouml.uml.diagram.state.ui.ButtonActionNewEffect,button action new effect get key name get icon name is enabled action performed create event 
org.argouml.ui.cmd.InitUiCmdSubsystem,init ui cmd subsystem get project settings tabs get settings tabs get details tabs init 
org.argouml.uml.ui.behavior.state_machines.UMLStateDeferrableEventListModel,u m l state deferrable event list model build popup build model list is valid element 
org.argouml.uml.diagram.AttributesCompartmentContainer,attributes compartment container is attributes visible set attributes visible get attributes bounds 
org.argouml.uml.ui.behavior.state_machines.UMLStateDeferrableEventList,u m l state deferrable event list 
org.argouml.uml.cognitive.critics.CrZeroLengthEdge,cr zero length edge predicate2 threshold 
org.argouml.util.ThreadUtils,thread utils check if interrupted 
org.argouml.notation.providers.uml.NotationUtilityUml$PropertySpecialString,property special string invoke name op 
org.argouml.persistence.MultitypeFileFilter,multitype file filter get all add accept get description filters extensions desc 
org.argouml.ui.explorer.rules.GoModelToCollaboration,go model to collaboration get dependencies get rule name get children 
org.argouml.uml.ui.foundation.extension_mechanisms.UMLStereotypeTagDefinitionListModel,u m l stereotype tag definition list model build model list is valid element 
org.argouml.kernel.ProjectSettings$12,12 redo undo this 0 val new width val old value 
org.argouml.kernel.ProjectSettings$11,11 redo undo this 0 val hideem 
org.argouml.kernel.ProjectSettings$13,13 redo undo key this 0 val new view val old value 
