Id	Modularity Class
org.argouml.core.propertypanels.module.XmlPropertyPanelsModule	38
org.argouml.core.propertypanels.ui.XMLPropPanelFactory	38
org.argouml.core.propertypanels.ui.XmlPropertyPanel	38
org.argouml.core.propertypanels.ui.UMLCommentBodyDocument	38
org.argouml.core.propertypanels.ui.GenericUMLPlainTextDocument	38
org.argouml.cognitive.ToDoList	39
org.argouml.cognitive.ui.ToDoPerspective	39
org.argouml.cognitive.ToDoListEvent	39
org.argouml.util.FileFilters	40
org.argouml.util.SuffixFilter	40
org.argouml.ui.ProjectActions	41
org.argouml.kernel.DefaultUndoManager	41
org.argouml.kernel.UndoManager	41
org.argouml.kernel.AbstractCommand	41
org.argouml.kernel.Command	41
org.argouml.kernel.NonUndoableCommand	41
org.argouml.uml.diagram.DiagramUndoManager	41
org.argouml.ui.UndoableAction	41
org.argouml.ui.ActionRedo	41
org.argouml.ui.ActionUndo	41
org.argouml.pattern.cognitive.critics.CrConsiderSingleton	42
org.argouml.pattern.cognitive.critics.CrSingletonViolatedMissingStaticAttr	42
org.argouml.pattern.cognitive.critics.CrSingletonViolatedOnlyPrivateConstructors	42
org.argouml.uml.cognitive.critics.WizAddOperation	43
org.argouml.uml.ui.foundation.core.ActionNewParameter	43
org.argouml.uml.cognitive.critics.WizAddConstructor	43
org.argouml.uml.cognitive.critics.WizAddInstanceVariable	43
org.argouml.uml.cognitive.critics.WizTooMany	43
org.argouml.uml.diagram.ui.FigExtensionPointsCompartment	44
org.argouml.uml.ui.behavior.common_behavior.ActionNewException	44
org.argouml.uml.ui.behavior.common_behavior.ActionNewSignal	44
org.argouml.ui.DetailsPane	45
org.argouml.ui.MultiEditorPane	45
org.argouml.uml.ui.PropPanel	46
org.argouml.cognitive.ui.TabToDo	46
org.argouml.ui.TabText	46
org.argouml.application.SubsystemUtility	46
org.argouml.ui.AboutBox	47
org.argouml.ui.ArgoJMenu	47
org.argouml.uml.diagram.deployment.ui.AbstractFigComponent	48
org.argouml.ui.ArgoToolbarManager	48
org.argouml.uml.diagram.deployment.ui.AbstractFigNode	48
org.argouml.uml.ui.behavior.collaborations.ActionNewActionForMessage	49
org.argouml.uml.ui.behavior.common_behavior.ActionAddContextSignal	49
org.argouml.uml.ui.behavior.common_behavior.ActionAddCreateActionInstantiation	49
org.argouml.uml.ui.behavior.common_behavior.ActionAddInstanceClassifier	49
org.argouml.uml.ui.behavior.common_behavior.ActionNewArgument	49
org.argouml.uml.ui.behavior.common_behavior.ActionNewReception	49
org.argouml.uml.ui.behavior.common_behavior.ActionRemoveArgument	49
org.argouml.uml.ui.behavior.common_behavior.UMLReceptionSpecificationDocument	49
org.argouml.uml.diagram.ui.DiagramNameDocument	49
org.argouml.ui.explorer.DnDExplorerTree	49
org.argouml.uml.ui.model_management.ActionAddPackage	49
org.argouml.uml.ui.UMLExpressionExpressionModel	49
org.argouml.uml.ui.UMLScriptExpressionModel	49
org.argouml.uml.ui.foundation.core.ActionNewInterface	49
org.argouml.uml.ui.foundation.extension_mechanisms.ActionNewStereotype	49
org.argouml.uml.ui.UMLConditionExpressionModel	49
org.argouml.uml.ui.UMLExpressionModel2	49
org.argouml.uml.ui.ActionGenerateProjectCode	50
org.argouml.uml.ui.foundation.core.ActionAddAssociationSpecification	50
org.argouml.uml.ui.SourcePathControllerImpl	50
org.argouml.uml.ui.behavior.state_machines.ActionNewFinalState	51
org.argouml.uml.ui.behavior.state_machines.ActionNewPseudoState	51
org.argouml.uml.ui.behavior.state_machines.ActionNewSimpleState	51
org.argouml.uml.ui.behavior.common_behavior.ActionNewCallAction	52
org.argouml.uml.ui.behavior.common_behavior.ActionNewCreateAction	52
org.argouml.uml.ui.behavior.common_behavior.ActionNewDestroyAction	52
org.argouml.uml.ui.behavior.common_behavior.ActionNewReturnAction	52
org.argouml.uml.ui.behavior.common_behavior.ActionNewSendAction	52
org.argouml.uml.ui.behavior.common_behavior.ActionNewTerminateAction	52
org.argouml.uml.ui.behavior.common_behavior.ActionNewUninterpretedAction	52
org.argouml.uml.ui.behavior.state_machines.ActionNewEvent	53
org.argouml.uml.ui.behavior.state_machines.ActionNewGuard	53
org.argouml.uml.ui.behavior.state_machines.ActionNewStubState	54
org.argouml.uml.ui.behavior.state_machines.ActionNewTransition	54
org.argouml.uml.cognitive.critics.CrAttrNameConflict	55
org.argouml.uml.cognitive.critics.CrCircularAssocClass	55
org.argouml.uml.cognitive.critics.CrNameConflictAC	55
org.argouml.uml.cognitive.critics.CrDupRoleNames	56
org.argouml.uml.cognitive.critics.CrOperNameConflict	56
org.argouml.uml.cognitive.critics.CrDupParamName	57
org.argouml.uml.cognitive.critics.CrUselessAbstract	57
org.argouml.uml.diagram.ui.ActionCompartmentDisplay	58
org.argouml.uml.diagram.ui.ActionEdgesDisplay	58
org.argouml.uml.diagram.ui.ActionAddConcurrentRegion	58
org.argouml.uml.diagram.ui.ActionAggregation	58
org.argouml.uml.diagram.ui.ActionMultiplicity	58
org.argouml.uml.diagram.ui.ActionAddAllClassesFromModel	58
org.argouml.uml.diagram.ui.ActionNavigability	58
org.argouml.uml.GenAncestorClasses	59
org.argouml.uml.GenDescendantClasses	59
org.argouml.core.propertypanels.ui.ComponentFactory	60
org.argouml.core.propertypanels.ui.OldScrollList	60
org.argouml.util.MyTokenizer	61
org.argouml.util.CustomSeparator	61
org.argouml.ui.explorer.rules.GoProjectToRoots	62
org.argouml.ui.GUIProjectSettingsTabInterface	62
org.argouml.uml.ui.ActionOpenProject	63
org.argouml.application.Main	63
org.argouml.uml.ui.ActionRevertToSaved	63
org.argouml.uml.ui.ActionReopenProject	63
org.argouml.cognitive.ui.ToDoPane	64
org.argouml.cognitive.ui.PriorityNode	64
org.argouml.model.Model	65
org.argouml.model.ModelImplementation	65
org.argouml.model.XmiReader	65
org.argouml.model.XmiWriter	65
org.argouml.model.mdr.MetaTypesMDRImpl	65
org.argouml.model.MetaTypes	65
org.argouml.model.AbstractUseCasesHelperDecorator	65
org.argouml.model.mdr.StateMachinesFactoryMDRImpl	65
org.argouml.model.mdr.UmlFactoryMDRImpl	65
org.argouml.model.CommonBehaviorHelper	65
org.argouml.model.mdr.MDRModelImplementation	65
org.argouml.model.UmlFactory	65
org.argouml.uml.ui.TabTaggedValuesModel	65
org.argouml.model.ModelEventPump	65
org.argouml.model.AbstractCollaborationsHelperDecorator	65
org.argouml.model.CollaborationsHelper	65
org.argouml.model.euml.MessageSortEUMLImpl	65
org.argouml.model.Facade	65
org.argouml.model.mdr.CollaborationsHelperMDRImpl	65
org.argouml.model.mdr.FacadeMDRImpl	65
org.argouml.model.mdr.MessageSortMDRImpl	65
org.argouml.model.MessageSort	65
org.argouml.model.AbstractExtensionMechanismsHelperDecorator	65
org.argouml.model.ExtensionMechanismsHelper	65
org.argouml.model.mdr.ExtensionMechanismsHelperMDRImpl	65
org.argouml.model.mdr.CoreHelperMDRImpl	65
org.argouml.model.mdr.ModelManagementHelperMDRImpl	65
org.argouml.model.mdr.XmiReaderImpl	65
org.argouml.model.CoreHelper	65
org.argouml.model.DataTypesHelper	65
org.argouml.model.ExtensionMechanismsFactory	65
org.argouml.model.mdr.CoreFactoryMDRImpl	65
org.argouml.model.mdr.DataTypesHelperMDRImpl	65
org.argouml.model.mdr.ExtensionMechanismsFactoryMDRImpl	65
org.argouml.model.AbstractCoreHelperDecorator	65
org.argouml.model.CoreFactory	65
org.argouml.model.ModelManagementFactory	65
org.argouml.model.ModelManagementHelper	65
org.argouml.model.mdr.CommonBehaviorHelperMDRImpl	65
org.argouml.model.mdr.XmiWriterMDRImpl	65
org.argouml.model.AbstractDataTypesHelperDecorator	65
org.argouml.model.mdr.ModelManagementFactoryMDRImpl	65
org.argouml.model.mdr.UndoCoreHelperDecorator	65
org.argouml.model.mdr.UseCasesFactoryMDRImpl	65
org.argouml.model.mdr.UseCasesHelperMDRImpl	65
org.argouml.model.UseCasesFactory	65
org.argouml.model.UseCasesHelper	65
org.argouml.model.mdr.ModelEventPumpMDRImpl	65
org.argouml.model.mdr.ActivityGraphsHelperMDRImpl	65
org.argouml.model.AbstractActivityGraphsHelperDecorator	65
org.argouml.model.ActivityGraphsHelper	65
org.argouml.model.mdr.XmiHeaderProviderImpl	65
org.argouml.model.mdr.XmiReferenceResolverImpl	65
org.argouml.model.mdr.AbstractUmlModelFactoryMDR	65
org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl	65
org.argouml.model.mdr.CollaborationsFactoryMDRImpl	65
org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl	65
org.argouml.model.mdr.CopyHelper	65
org.argouml.model.mdr.DataTypesFactoryMDRImpl	65
org.argouml.model.mdr.KindsMDRImpl	65
org.argouml.model.mdr.StateMachinesHelperMDRImpl	65
org.argouml.model.mdr.UmlHelperMDRImpl	65
org.argouml.model.mdr.XmiReferenceProviderImpl	65
org.argouml.model.ChangeableKind	65
org.argouml.model.PseudostateKind	65
org.argouml.model.ScopeKind	65
org.argouml.model.DataTypesFactory	65
org.argouml.model.StateMachinesHelper	65
org.argouml.model.AbstractCommonBehaviorHelperDecorator	65
org.argouml.model.AbstractModelEventPump	65
org.argouml.model.CollaborationsFactory	65
org.argouml.model.AbstractUmlHelperDecorator	65
org.argouml.model.UmlHelper	65
org.argouml.model.mdr.XmiReference	65
org.argouml.model.UmlException	65
org.argouml.model.mdr.UndoActivityGraphsHelperDecorator	65
org.argouml.model.mdr.UndoCollaborationsHelperDecorator	65
org.argouml.model.mdr.UndoCommonBehaviorHelperDecorator	65
org.argouml.model.mdr.UndoDataTypesHelperDecorator	65
org.argouml.model.mdr.UndoExtensionMechanismsHelperDecorator	65
org.argouml.model.mdr.UndoStateMachinesHelperDecorator	65
org.argouml.model.mdr.UndoUmlHelperDecorator	65
org.argouml.model.mdr.UndoUseCasesHelperDecorator	65
org.argouml.model.Defaults	65
org.argouml.model.UmlFactoryDefaults	65
org.argouml.model.StateMachinesFactory	65
org.argouml.model.AbstractStateMachinesHelperDecorator	65
org.argouml.model.UUIDManager	65
org.argouml.model.InvalidElementException	65
org.argouml.model.AbstractModelFactory	65
org.argouml.model.CopyHelper	65
org.argouml.model.ActivityGraphsFactory	65
org.argouml.model.AggregationKind	65
org.argouml.model.CommonBehaviorFactory	65
org.argouml.model.ConcurrencyKind	65
org.argouml.model.DirectionKind	65
